gid,name,municipio,departamento,year,predicted_ha,official_ha,ratio,pred_oof_ha,pred_density,official_density,oof_px,canvas_px,oof_share_of_canvas,canvas_share_hint,model_rank,official_rank,in_ranking
COL.12.8_2,Curumaní,Curumaní,Cesar,2022,,,,,,,0,16349,,,,,False
COL.23.9_2,Convención,Convención,NortedeSantander,2022,1172.990343011339,1914.61,0.6126523641949739,1027.303479269536,0.016280262982004388,0.01875045656204302,1577529,1801246,0.8757987526412272,72049.84,7.0,6.0,True
COL.23.12_2,ElCarmen,ElCarmen,NortedeSantander,2022,222.86505695074092,817.8,0.2725178001354132,180.2690136130508,0.004275080123817232,0.0010207601833218168,1054185,1303280,0.8088706954760297,52131.200000000004,9.0,8.0,True
COL.23.13_2,ElTarra,ElTarra,NortedeSantander,2022,7637.838414161808,6390.46,1.1951938380275924,4702.430127682528,0.11795306508654102,0.09340397534723775,996674,1618830,0.6156755187388423,64753.200000000004,1.0,1.0,True
COL.23.16_2,Hacarí,Hacarí,NortedeSantander,2022,1477.892841813093,580.87,2.544274694532499,1240.8996687885654,0.03981847177083516,0.01422640739479272,779098,927894,0.839641165909037,37115.76,4.0,7.0,True
COL.23.19_2,LaPlayadeBelén,LaPlayadeBelén,NortedeSantander,2022,,,,,,,0,125042,,,,,False
COL.23.24_2,Ocaña,Ocaña,NortedeSantander,2022,16.640171944280738,16.48,1.0097191713762583,16.640171944280738,0.005213021122630273,0.0,79801,79801,1.0,3192.04,8.0,9.0,True
COL.23.27_2,PuertoSantander,PuertoSantander,NortedeSantander,2022,,,,,,,0,88741,,,,,False
COL.23.30_2,SanCalixto,SanCalixto,NortedeSantander,2022,1767.576003434785,959.31,1.8425493359130887,1222.069300033262,0.038270751781376226,0.021843161413611683,798305,1154652,0.6913814725129303,46186.08,5.0,5.0,True
COL.23.32_2,SanJosédeCúcuta,SanJosédeCúcuta,NortedeSantander,2022,,,,,,,0,466534,,,,,False
COL.23.35_2,Sardinata,Sardinata,NortedeSantander,2022,3122.8354067396403,4727.37,0.6605862047480185,2682.2798025249876,0.04978546970020075,0.048650180762501515,1346919,1568146,0.8589244878984482,62725.840000000004,3.0,3.0,True
COL.23.36_2,Teorama,Teorama,NortedeSantander,2022,2875.23779315138,3790.4,0.7585578812661936,2196.1297146841334,0.03085446816394912,0.044955237711807636,1779426,2329677,0.7638080300402159,93187.08,6.0,4.0,True
COL.23.37_2,Tibú,Tibú,NortedeSantander,2022,20421.10074382859,22081.53,0.9248046101800278,14672.752709462118,0.07669626215573455,0.08908915186760948,4782747,6656485,0.7185093934711788,266259.4,2.0,2.0,True
