gid,name,municipio,departamento,year,predicted_ha,official_ha,ratio,nowcast,ref_ha,change_dir,ref_year
COL.23.9_2,Convención,Convención,NortedeSantander,2023,15.935328249037266,2034.35,0.007833130114796995,True,1011.8279500786961,down,2024
COL.23.12_2,ElCarmen,ElCarmen,NortedeSantander,2023,3.80056685179472,874.96,0.004343703542784493,True,62.085823445916176,down,2024
COL.23.13_2,ElTarra,ElTarra,NortedeSantander,2023,2049.8286797103287,6864.19,0.2986264482350181,True,4950.3705288238825,down,2024
COL.23.16_2,Hacarí,Hacarí,NortedeSantander,2023,31.81343911111355,824.39,0.03859027779462821,True,791.0583103325963,down,2024
COL.23.30_2,SanCalixto,SanCalixto,NortedeSantander,2023,126.76172232747078,1173.85,0.10798800726453192,True,1378.218023850918,down,2024
COL.23.35_2,Sardinata,Sardinata,NortedeSantander,2023,3499.61076377064,4299.81,0.8138989312947874,True,2207.8124310013654,up,2024
COL.23.36_2,Teorama,Teorama,NortedeSantander,2023,14.741791661381722,3956.28,0.003726175008184891,True,2124.7843975013493,down,2024
COL.23.37_2,Tibú,Tibú,NortedeSantander,2023,13469.58347044289,23029.68,0.5848793153201821,True,18417.266819359513,down,2024
