gid,name,municipio,departamento,year,predicted_ha,official_ha,ratio,pred_oof_ha,pred_density,official_density,oof_px,canvas_px,oof_share_of_canvas,canvas_share_hint,model_rank,official_rank,in_ranking
COL.12.8_2,Curumaní,Curumaní,Cesar,2024,,,,,,,0,16349,,,,,False
COL.23.9_2,Convención,Convención,NortedeSantander,2024,1240.7982783156795,1847.67,0.671547558988174,1086.6895844282542,0.017221388393307734,0.019683086405637273,1577529,1801246,0.8757987526412272,72049.84,7.0,7.0,True
COL.23.12_2,ElCarmen,ElCarmen,NortedeSantander,2024,350.2448960414042,922.7,0.3795869687237501,283.30283264794036,0.0067185274085653935,0.0011429375919333891,1054185,1303280,0.8088706954760297,52131.200000000004,9.0,8.0,True
COL.23.13_2,ElTarra,ElTarra,NortedeSantander,2024,6821.222523316623,7664.58,0.889966902728737,4199.659715476036,0.10534185991297144,0.10658984222244762,996674,1618830,0.6156755187388423,64753.200000000004,1.0,1.0,True
COL.23.16_2,Hacarí,Hacarí,NortedeSantander,2024,1182.254835821056,1167.26,1.012846183216298,992.6698287503887,0.03185317600450741,0.02639489587138318,779098,927894,0.839641165909037,37115.76,5.0,6.0,True
COL.23.19_2,LaPlayadeBelén,LaPlayadeBelén,NortedeSantander,2024,,,,,,,0,125042,,,,,False
COL.23.24_2,Ocaña,Ocaña,NortedeSantander,2024,22.71595474182206,6.67,3.4056903660902638,22.71595474182206,0.007116437996335278,0.0,79801,79801,1.0,3192.04,8.0,9.0,True
COL.23.27_2,PuertoSantander,PuertoSantander,NortedeSantander,2024,,,,,,,0,88741,,,,,False
COL.23.30_2,SanCalixto,SanCalixto,NortedeSantander,2024,1587.2337481225695,1086.14,1.461352816508525,1097.3840059991996,0.034366063284058085,0.02754447387220634,798305,1154652,0.6913814725129303,46186.08,4.0,5.0,True
COL.23.32_2,SanJosédeCúcuta,SanJosédeCúcuta,NortedeSantander,2024,,,,,,,0,466534,,,,,False
COL.23.35_2,Sardinata,Sardinata,NortedeSantander,2024,3135.9977298283693,5162.64,0.607440714407429,2693.5852441435286,0.04999530862924067,0.05483509108937712,1346919,1568146,0.8589244878984482,62725.840000000004,3.0,3.0,True
COL.23.36_2,Teorama,Teorama,NortedeSantander,2024,2933.1858825658287,3890.86,0.7538656961612159,2240.3909307043778,0.031476314984500306,0.04693861093561447,1779426,2329677,0.7638080300402159,93187.08,6.0,4.0,True
COL.23.37_2,Tibú,Tibú,NortedeSantander,2024,17577.89362077365,25911.23,0.6783890081934996,12629.881683962982,0.06601792695684604,0.10448918759823243,4782747,6656485,0.7185093934711788,266259.4,2.0,2.0,True
