gid,name,municipio,departamento,year,predicted_ha,official_ha,ratio,pred_oof_ha,pred_density,official_density,oof_px,canvas_px,oof_share_of_canvas,canvas_share_hint,model_rank,official_rank,in_ranking
COL.12.8_2,Curumaní,Curumaní,Cesar,2020,,,,,,,0,16349,,,,,False
COL.23.9_2,Convención,Convención,NortedeSantander,2020,909.6436641621523,2307.93,0.39413832488946904,796.6647864212084,0.012625200335797447,0.019103669614963455,1577529,1801246,0.8757987526412272,72049.84,7.0,6.0,True
COL.23.12_2,ElCarmen,ElCarmen,NortedeSantander,2020,254.5082963094212,1181.89,0.2153400877487932,205.86430264022098,0.00488207246925874,0.001118774707488236,1054185,1303280,0.8088706954760297,52131.200000000004,8.0,8.0,True
COL.23.13_2,ElTarra,ElTarra,NortedeSantander,2020,6135.5955296089605,5916.4,1.037048801570036,3777.5359604637183,0.09475354931662004,0.08658470963282751,996674,1618830,0.6156755187388423,64753.200000000004,1.0,1.0,True
COL.23.16_2,Hacarí,Hacarí,NortedeSantander,2020,1075.4138003348537,572.5,1.878452052986644,902.961697147825,0.028974586545846125,0.013676861173829435,779098,927894,0.839641165909037,37115.76,4.0,7.0,True
COL.23.19_2,LaPlayadeBelén,LaPlayadeBelén,NortedeSantander,2020,,,,,,,0,125042,,,,,False
COL.23.24_2,Ocaña,Ocaña,NortedeSantander,2020,15.57829119724047,17.57,0.8866415024041246,15.57829119724047,0.004880355884400092,0.0,79801,79801,1.0,3192.04,9.0,9.0,True
COL.23.27_2,PuertoSantander,PuertoSantander,NortedeSantander,2020,,,,,,,0,88741,,,,,False
COL.23.30_2,SanCalixto,SanCalixto,NortedeSantander,2020,1152.713640013696,1206.77,0.9552057475854521,796.9648538184091,0.024958031511089402,0.0255029952507955,798305,1154652,0.6913814725129303,46186.08,6.0,5.0,True
COL.23.32_2,SanJosédeCúcuta,SanJosédeCúcuta,NortedeSantander,2020,,,,,,,0,466534,,,,,False
COL.23.35_2,Sardinata,Sardinata,NortedeSantander,2020,2611.431525966034,4602.98,0.5673349712503714,2243.022486122239,0.041632467990321595,0.044518385973452694,1346919,1568146,0.8589244878984482,62725.840000000004,3.0,4.0,True
COL.23.36_2,Teorama,Teorama,NortedeSantander,2020,2438.8557668302697,4216.63,0.5783897963137078,1862.817618814848,0.0261716084121347,0.049993796476649026,1779426,2329677,0.7638080300402159,93187.08,5.0,3.0,True
COL.23.37_2,Tibú,Tibú,NortedeSantander,2020,18705.34743581063,19333.88,0.9674906141866313,13439.967840771964,0.07025234577938141,0.07562453672820726,4782747,6656485,0.7185093934711788,266259.4,2.0,2.0,True
